City,Club Name,Location,Website,Strava Club Link,Social Media
New York,Rockland RR,Rockland Country,https://rocklandroadrunners.org/,,https://www.instagram.com/rocklandroadrunners/
New York,Royal Sandbaggers,Brooklyn,,,https://www.instagram.com/royalsandbaggers/
New York,Run for Chinatown,Manhattan,https://runforchinatown.org/joinus,,https://www.instagram.com/runforchinatown
New York,Run Hustle Run,Queens,,,https://www.instagram.com/runhustlerun/
New York,RUN LIC,Queens,https://www.meetup.com/longislandcity-runners,,https://www.instagram.com/runlic/
New York,Run PB,Peekskill,https://runsignup.com/Club/2157,,https://www.instagram.com/breweryrunning
New York,Running For Ayotzinapa 43,,https://www.runningforayotzinapa43.com/,,
New York,South Brooklyn Running Club,Brooklyn,http://southbrooklynrunningclub.com/,https://www.strava.com/clubs/SBRC,https://www.instagram.com/southbrooklynrc
New York,Staten Island AC,Staten Island,https://www.siathleticclub.com/,https://www.strava.com/clubs/staten-island-ac,https://www.instagram.com/staten_island_athletic_club/
New York,Streets 101,Manhattan,https://www.streets101.run/,,https://www.instagram.com/streets101nyc
New York,Taconic Road Runners Club,Westchester,https://www.runner.org/,,https://www.instagram.com/taconic_roadrunners/
New York,Team For Kids,Manhattan,https://www.runwithtfk.org/,,https://www.instagram.com/teamforkids
New York,Team WEPA NYC,Queens,,,https://www.instagram.com/team_wepa_nyc
New York,The JURC,,,,https://www.instagram.com/thejurcnyc/
New York,The Leftovers Run Club,Bronx,,,https://www.instagram.com/theleftoversrun
New York,TriLatino Triathlon Club,Bronx,https://www.trilatino.org/,,https://www.instagram.com/trilatinotriathlonclub/?hl=en
New York,United Mexican Runners of New York,Queens,https://united-mexican-runners-ny.com/english,,https://www.instagram.com/unitedmexicanrunnersny
New York,Upper East Side Run Club,Manhattan,https://linktr.ee/uesrc,https://www.strava.com/clubs/UESRunClub,https://www.instagram.com/uesrunclub
New York,Upper West Side Run Club,Manhattan,https://linktr.ee/upperwestsiderunclub,https://www.strava.com/clubs/1124930,https://www.instagram.com/upperwestsiderunclub
New York,Upper West Side Runners,Manhattan,https://linktr.ee/uwsrunners,https://www.strava.com/clubs/uwsrunners,https://www.instagram.com/uwsrunners
New York,Urban Athletics,Manhattan,https://www.urbanathleticsnyc.com/,,https://www.instagram.com/urbanathleticsrunclub/?hl=en
New York,Van Cortlandt TC,Bronx,https://vctc.org/,,https://www.instagram.com/vancortlandttc
